Service,01/01/2024,01/02/2024,01/03/2024,01/04/2024,01/05/2024,01/06/2024,01/07/2024,01/08/2024,01/09/2024
Amazon Elastic Compute Cloud ($),12340.91,12042.98,13406.74,13688.65,14075.96,13519.43,14027.8,14987.94,15041.48
AWS Data Transfer ($),2405.33,2342.78,2838.74,2651.16,2833.95,3043.59,3365.77,4204.53,3993.29
Amazon Redshift ($),1532.72,1622.68,1915.58,1878.13,1904.36,1847.37,1912.6,1934.28,1890.58
Amazon Simple Storage Service ($),1107.92,1138.15,1184.59,1220.75,1271.54,1320.92,1370.41,1427.75,1083.97
AmazonCloudWatch ($),681.8,668.48,681.33,690.56,725.78,758.81,778.46,797.46,787.76
AWS Support (Developer) ($),559.59,558.61,624.52,623.98,646.58,642.84,684.43,752.1,730.71
Amazon Kinesis ($),473.34,459.13,504.27,487.97,504.28,488.07,504.35,515.32,500.69
Amazon DynamoDB ($),467.71,439.55,471.54,454.63,473.67,458.27,475.2,498.88,494.81
Elastic Load Balancing ($),502.79,488.72,480.81,438.56,445.39,445,465.47,468.25,441.73
Amazon Pinpoint ($),292.47,314.98,429.94,385.31,431.95,464,484.71,609.42,501.33
AWS Database Migration Service ($),394.32,368.88,394.32,381.6,394.32,381.6,394.32,394.32,381.6
Amazon S3 Glacier Deep Archive ($),285.63,298.29,311.41,325.93,339.95,354.41,369.94,384.3,393.78
Amazon Simple Queue Service ($),192.59,187.03,209.46,191.97,197.81,199.72,215.51,203.9,197.57
Amazon Virtual Private Cloud ($),37.2,202.77,208.04,202.01,208.52,204.32,210.44,211.13,204.36
Amazon QuickSight ($),0,0,0,0,17.59,43.18,360.16,639.24,622.87
Amazon Elastic File System ($),68.6,71.22,73.41,73.33,125.27,187.16,254.24,312.76,329.39
Amazon Kinesis Firehose ($),66.83,69.09,85.34,79.46,86,89.41,93.7,111.73,98.33
Amazon EC2 Container Registry (ECR) ($),16.71,17.21,17.2,18.82,20.22,20.71,21.33,22.66,26.19
Amazon CloudFront ($),15.7,15.34,12.9,12.58,17.71,16.67,2.05,0.09,0.04
AWS Secrets Manager ($),2.69,6.85,8.45,8.62,8.71,9.05,9.1,9.5,9.57
Amazon Route 53 ($),5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
AWS Key Management Service ($),3.02,3.02,3.02,3.01,3,3,3,3,3
Amazon Comprehend ($),2,2,2,2,2,2,2,2,2
Amazon Simple Notification Service ($),1.92,1.89,2.84,0.97,0.71,0.76,0.93,1,0.66
AWS CloudTrail ($),0.2,0.21,0.21,0.22,0.24,0.23,0.24,0.25,5.36
Amazon Athena ($),0,0,4.68,0,0,0,0,0,0
Amazon Textract ($),2.41,0.78,0,0.19,0,0.21,0.51,0.33,0
AWS Glue ($),0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Amazon Rekognition ($),0.2,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Amazon ElastiCache ($),0,0,0.63,0,0,0,0,0,0
AWS Backup ($),0.4,0.19,0,0,0,0,0,0,0
AWS Systems Manager ($),0,0,0,0,0,0,0,0,0
AWS CloudFormation ($),0,0,0,0,0,0,0,0,0
AWS Lambda ($),0,0,0,0,0,0,0,0,0
AWS Migration Hub Refactor Spaces ($),0,0,0,0,0,0,0,0,0
AWS Service Catalog ($),0,0,0,0,0,0,0,0,0
AWS X-Ray ($),0,0,0,0,0,0,0,0,0
Amazon Cognito ($),0,0,0,0,0,0,0,0,0
AWS Credits ($),0,-1007.56,0,0,0,0,0,0,0
