Redshift Service Name,Month,Redshift Service Price
APS3-Node:dc2.large ($),01/01/2024,1413.22
APS3-Node:dc2.large ($),01/02/2024,1373.27
APS3-Node:dc2.large ($),01/03/2024,1766.48
APS3-Node:dc2.large ($),01/04/2024,1708.06
APS3-Node:dc2.large ($),01/05/2024,1766.02
APS3-Node:dc2.large ($),01/06/2024,1708.43
APS3-Node:dc2.large ($),01/07/2024,1766.46
APS3-Node:dc2.large ($),01/08/2024,1764.78
APS3-Node:dc2.large ($),01/09/2024,1706.19
APS3-Redshift:PaidSnapshots ($),01/01/2024,119.12
APS3-Redshift:PaidSnapshots ($),01/02/2024,117.88
APS3-Redshift:PaidSnapshots ($),01/03/2024,145.12
APS3-Redshift:PaidSnapshots ($),01/04/2024,143.13
APS3-Redshift:PaidSnapshots ($),01/05/2024,137.36
APS3-Redshift:PaidSnapshots ($),01/06/2024,137.37
APS3-Redshift:PaidSnapshots ($),01/07/2024,145.6
APS3-Redshift:PaidSnapshots ($),01/08/2024,167.28
APS3-Redshift:PaidSnapshots ($),01/09/2024,180.58
APS3-HeavyUsage:dc2.large ($),01/01/2024,0.38
APS3-HeavyUsage:dc2.large ($),01/02/2024,131.53
APS3-HeavyUsage:dc2.large ($),01/03/2024,0.52
APS3-HeavyUsage:dc2.large ($),01/04/2024,1.94
APS3-HeavyUsage:dc2.large ($),01/05/2024,0.98
APS3-HeavyUsage:dc2.large ($),01/06/2024,1.57
APS3-HeavyUsage:dc2.large ($),01/07/2024,0.54
APS3-HeavyUsage:dc2.large ($),01/08/2024,2.22
APS3-HeavyUsage:dc2.large ($),01/09/2024,3.81
APS3-CS:dc2.large ($),01/01/2024,0
APS3-CS:dc2.large ($),01/02/2024,0
APS3-CS:dc2.large ($),01/03/2024,3.46
APS3-CS:dc2.large ($),01/04/2024,25
APS3-CS:dc2.large ($),01/05/2024,0
APS3-CS:dc2.large ($),01/06/2024,0
APS3-CS:dc2.large ($),01/07/2024,0
APS3-CS:dc2.large ($),01/08/2024,0
APS3-CS:dc2.large ($),01/09/2024,0
APS3-DataScanned ($),01/01/2024,0
APS3-DataScanned ($),01/02/2024,0
APS3-DataScanned ($),01/03/2024,0
APS3-DataScanned ($),01/04/2024,0
APS3-DataScanned ($),01/05/2024,0
APS3-DataScanned ($),01/06/2024,0
APS3-DataScanned ($),01/07/2024,0
APS3-DataScanned ($),01/08/2024,0
APS3-DataScanned ($),01/09/2024,0
APS3-CSFreeUsage:dc2.large ($),01/01/2024,0
APS3-CSFreeUsage:dc2.large ($),01/02/2024,0
APS3-CSFreeUsage:dc2.large ($),01/03/2024,0
APS3-CSFreeUsage:dc2.large ($),01/04/2024,0
APS3-CSFreeUsage:dc2.large ($),01/05/2024,0
APS3-CSFreeUsage:dc2.large ($),01/06/2024,0
APS3-CSFreeUsage:dc2.large ($),01/07/2024,0
APS3-CSFreeUsage:dc2.large ($),01/08/2024,0
APS3-CSFreeUsage:dc2.large ($),01/09/2024,0
