Total Bill,Month,Total Price
CK Discounts ($),01/01/2024,2247.63
CK Discounts ($),01/02/2024,2147.01
CK Discounts ($),01/03/2024,2434.81
CK Discounts ($),01/04/2024,2401.74
CK Discounts ($),01/05/2024,2540.84
CK Discounts ($),01/06/2024,2434.58
CK Discounts ($),01/07/2024,2512.57
CK Discounts ($),01/08/2024,2674.64
CK Discounts ($),01/09/2024,2658.06
Bill before discount,01/01/2024,21460.11
Bill before discount,01/02/2024,20318.46
Bill before discount,01/03/2024,23876.66
Bill before discount,01/04/2024,23825.1
Bill before discount,01/05/2024,24740.2
Bill before discount,01/06/2024,24505.42
Bill before discount,01/07/2024,26011.36
Bill before discount,01/08/2024,28496.83
Bill before discount,01/09/2024,27745.76
Bill after discount,01/01/2024,19212.48
Bill after discount,01/02/2024,18171.45
Bill after discount,01/03/2024,21441.85
Bill after discount,01/04/2024,21423.36
Bill after discount,01/05/2024,22199.36
Bill after discount,01/06/2024,22070.84
Bill after discount,01/07/2024,23498.79
Bill after discount,01/08/2024,25822.19
Bill after discount,01/09/2024,25087.7
